,index,COUNTRY,ISO3,0,1,2,3,4,5,6,7,8,9,10,11
211,211,Turkey,TUR,Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac,,,,,,,,,
212,212,Turkmenistan,TKM,Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine,,,,,
213,213,Turks and Caicos Islands,TCA,Pfizer BioNTech - Comirnaty,,,,,,,,,,,
214,214,Tuvalu,TUV,AstraZeneca - Vaxzevria,,,,,,,,,,,
215,215,Uganda,UGA,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,,,
216,216,Ukraine,UKR,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,,,
217,217,United Arab Emirates,ARE,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,
218,218,United Republic of Tanzania,TZA,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,,,,,,,,,
219,219,United States of America,USA,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,,,,,,,,
220,220,Uruguay,URY,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,,,,,
221,221,Uzbekistan,UZB,Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine,,,,
222,222,Vanuatu,VUT,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,,,,,,,,,
223,223,Venezuela (Bolivarian Republic of),VEN,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac,,,,,,
224,224,Viet Nam,VNM,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,,,,,,
225,225,Wallis and Futuna,WLF,Moderna - Spikevax,,,,,,,,,,,
226,226,Yemen,YEM,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,
227,227,Zambia,ZMB,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,,,,,,,,,
228,228,Zimbabwe,ZWE,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac,,,,,,,,
